"Language code","Title","Short description","Full description"
"bn-BD","তুর্কি অভিধান","২৫টি ভাষায়! প্রতিশব্দ, ক্রিয়া, প্রবাদ ও কুইজে শব্দভান্ডার বাড়ান!","📚 তুর্কি অভিধান — শিক্ষার্থী, লেখক ও তুর্কি ভাষা শিখছেন তাদের জন্য সম্পূর্ণ শব্দভান্ডার অ্যাপ। ২৫টি ভাষায় ইন্টারফেস। ✨ বৈশিষ্ট্য 🔍 একাধিক অভিধান মোড: প্রতিশব্দ, ক্রিয়া, বিশেষ্য, প্রবাদ, বিশেষণ ও মিশ্র মোড 🔎 স্মার্ট অনুসন্ধান, পরামর্শ, ভয়েস সার্চ ও TDK Güncel Türkçe Sözlük অনলাইন খোঁজ ⭐ পছন্দের তালিকা ও শেখার ফ্ল্যাশকার্ড ➕ নিজের শব্দ যোগ করুন 🎯 কুইজ মোড ও পরিসংখ্যান 📅 দিনের শব্দ — ঐচ্ছিক বিজ্ঞপ্তি 🌍 ২৫টি ভাষায় UI; তুর্কি ভাষাসহ 🎨 আধুনিক UI: সাইড মেনু, উপরে ডানে লাইট/ডার্ক থিম 📊 প্রোফাইলে পরিসংখ্যান ও ধারাবাহিকতা 🔒 গোপনীয়তা: কোনো ব্যক্তিগত তথ্য নেই, অ্যাপে নীতি ২৫টি ভাষায়, শুধু স্থানীয় সংরক্ষণ 💯 সম্পূর্ণ বিনামূল্যে, বিজ্ঞাপন নেই এখনই ডাউনলোড করুন ও শব্দভান্ডার বাড়ান! 🚀"
"pt-BR","Dicionário turco","Vocabulário turco em 25 idiomas: sinônimos, verbos, expressões e quiz","📚 Dicionário turco — app completo de vocabulário turco para estudantes, escritores e aprendizes. Interface em 25 idiomas. ✨ RECURSOS 🔍 Vários modos de dicionário: sinônimos, verbos, substantivos, expressões, adjetivos e modo misto 🔎 Busca inteligente com sugestões, busca por voz e consulta online TDK Güncel Türkçe Sözlük ⭐ Favoritos e flashcards de aprendizado ➕ Adicione suas próprias palavras 🎯 Modo quiz com estatísticas 📅 Palavra do dia com notificação opcional 🌍 Interface em 25 idiomas, incluindo línguas turcas 🎨 UI moderna: menu lateral, tema claro/escuro no canto superior direito 📊 Estatísticas e sequência no perfil 🔒 Privacidade: sem dados pessoais, política no app em 25 idiomas, apenas armazenamento local 💯 Totalmente grátis, sem anúncios Baixe agora e amplie seu vocabulário! 🚀"
"ru-RU","Турецкий словарь","На 25 языках! Синонимы, глаголы, идиомы и викторины для словарного запаса!","📚 Турецкий словарь — полноценное приложение для турецкого словарного запаса для учеников, писателей и изучающих турецкий. Интерфейс на 25 языках. ✨ ВОЗМОЖНОСТИ 🔍 Несколько режимов словаря: синонимы, глаголы, существительные, идиомы, прилагательные и смешанный режим 🔎 Умный поиск с подсказками, голосовой поиск и онлайн-запрос TDK Güncel Türkçe Sözlük ⭐ Избранное и обучающие карточки ➕ Добавляйте свои слова 🎯 Режим викторины со статистикой 📅 Слово дня с необязательным уведомлением 🌍 Интерфейс на 25 языках, включая тюркские 🎨 Современный интерфейс: боковое меню, переключатель темы справа сверху 📊 Статистика и серия в профиле 🔒 Конфиденциальность: без личных данных, политика в приложении на 25 языках, только локальное хранение 💯 Полностью бесплатно, без рекламы Скачайте сейчас и расширяйте словарный запас! 🚀"
"ur","ترکی لغت","25 زبانوں میں! مترادفات، افعال، محاورے اور کوئز سے الفاظ بڑھائیں!","📚 ترکی لغت — طلبہ، مصنفین اور ترکی سیکھنے والوں کے لیے جامع الفاظ کی ایپ۔ 25 زبانوں میں انٹرفیس۔ ✨ خصوصیات 🔍 متعدد لغت موڈ: مترادفات، افعال، اسم، محاورے، صفتیں اور مخلوط موڈ 🔎 ذكي تلاش، تجاویز، آواز سے تلاش اور TDK Güncel Türkçe Sözlük آن لائن تلاش ⭐ پسندیدہ اور سیکھنے کے فلیش کارڈ ➕ اپنے الفاظ شامل کریں 🎯 کوئز موڈ اور اعداد و شمار 📅 دن کا لفظ — اختیاری اطلاع 🌍 25 زبانوں میں UI؛ ترکی زبانیں شامل 🎨 جدید UI: سائیڈ مینو، اوپر دائیں لائٹ/ڈارک تھیم 📊 پروفائل میں اعداد و شمار اور سلسلہ 🔒 رازداری: کوئی ذاتی ڈیٹا نہیں، ایپ میں پالیسی 25 زبانوں میں، صرف مقامی ذخیرہ 💯 مکمل مفت، بغیر اشتہار ابھی ڈاؤن لوڈ کریں اور الفاظ بڑھائیں! 🚀"
"id","Kamus Turki","25 bahasa! Perkaya kosakata dengan sinonim, kata kerja, idiom & kuis!","📚 Kamus Turki — aplikasi kosakata Turki lengkap untuk pelajar, penulis dan pembelajar bahasa Turki. Antarmuka 25 bahasa. ✨ FITUR 🔍 Beberapa mode kamus: sinonim, kata kerja, kata benda, idiom, kata sifat dan mode campuran 🔎 Pencarian cerdas dengan saran, pencarian suara dan lookup online TDK Güncel Türkçe Sözlük ⭐ Favorit dan kartu flash belajar ➕ Tambahkan kata Anda sendiri 🎯 Mode kuis dengan statistik 📅 Kata hari ini dengan notifikasi opsional 🌍 UI 25 bahasa, termasuk bahasa Turkik 🎨 UI modern: menu samping, tema terang/gelap kanan atas 📊 Statistik dan streak di profil 🔒 Privasi: tanpa data pribadi, kebijakan dalam app 25 bahasa, penyimpanan lokal saja 💯 Gratis sepenuhnya, tanpa iklan Unduh sekarang dan perluas kosakata Anda! 🚀"
"de-DE","Türkisches Wörterbuch","In 25 Sprachen! Wortschatz mit Synonymen, Verben, Redewendungen & Quiz!","📚 Türkisches Wörterbuch — umfassende Türkisch-Vokabel-App für Schüler, Autoren und Türkischlernende. Oberfläche in 25 Sprachen. ✨ FUNKTIONEN 🔍 Mehrere Wörterbuchmodi: Synonyme, Verben, Substantive, Redewendungen, Adjektive und Mischmodus 🔎 Intelligente Suche mit Vorschlägen, Sprachsuche und TDK Güncel Türkçe Sözlük Online-Abfrage ⭐ Favoriten und Lernkarten ➕ Eigene Wörter hinzufügen 🎯 Quiz-Modus mit Statistiken 📅 Wort des Tages mit optionaler Benachrichtigung 🌍 Oberfläche in 25 Sprachen, einschließlich turkischer Sprachen 🎨 Moderne Oberfläche: Seitenmenü, Hell/Dunkel-Umschalter oben rechts 📊 Statistiken und Serien im Profil 🔒 Datenschutz: keine personenbezogenen Daten, In-App-Datenschutzrichtlinie in 25 Sprachen, nur lokale Speicherung 💯 Völlig kostenlos, ohne Werbung Jetzt herunterladen und Wortschatz erweitern! 🚀"
"ja-JP","トルコ語辞典","25言語対応！類語・動詞・慣用句・クイズでトルコ語語彙を強化！","📚 トルコ語辞典 — 学生、作家、トルコ語学習者向けの包括的語彙アプリ。25言語のUI。 ✨ 機能 🔍 複数の辞書モード：類語、動詞、名詞、慣用句、形容詞、混合モード 🔎 スマート検索、候補、音声検索、TDK Güncel Türkçe Sözlük オンライン検索 ⭐ お気に入りと学習フラッシュカード ➕ 独自の単語を追加 🎯 クイズモードと統計 📅 今日の単語（通知は任意） 🌍 25言語UI、テュルク語族を含む 🎨 モダンUI：サイドメニュー、右上でライト/ダークテーマ切替 📊 プロフィールの統計と連続記録 🔒 プライバシー：個人データなし、アプリ内プライバシーポリシー25言語、ローカルのみ 💯 完全無料、広告なし 今すぐダウンロードして語彙を広げましょう！🚀"
"sw","Kamusi ya Kituruki","Lugha 25! Ongeza msamiati kwa visawe, vitenzi, methali na maswali!","📚 Kamusi ya Kituruki — programu kamili ya msamiati wa Kituruki kwa wanafunzi, waandishi na wajifunzaji. Kiolesura cha lugha 25. ✨ VIPENGELE 🔍 Hali nyingi za kamusi: visawe, vitenzi, nomino, methali, vivumishi na hali mchanganyiko 🔎 Utafutaji mahiri, mapendekezo, utafutaji wa sauti na TDK Güncel Türkçe Sözlük mtandaoni ⭐ Vipendwa na kadi za kujifunza ➕ Ongeza maneno yako mwenyewe 🎯 Hali ya maswali na takwimu 📅 Neno la siku — arifa hiari 🌍 UI ya lugha 25, ikiwa ni lugha za Kituruki 🎨 UI ya kisasa: menyu ya upande, mandhari angavu/giza juu kulia 📊 Takwimu na mfululizo kwenye wasifu 🔒 Faragha: hakuna data ya kibinafsi, sera ndani ya programu lugha 25, hifadhi ya ndani tu 💯 Bure kabisa, bila matangazo Pakua sasa na panua msamiati wako! 🚀"
"mr-IN","तुर्की शब्दकोश","25 भाषांमध्ये! समानार्थी, क्रियापद, वाक्प्रचार आणि क्विझने शब्दसंग्रह!","📚 तुर्की शब्दकोश — विद्यार्थी, लेखक आणि तुर्की शिकणाऱ्यांसाठी सर्वसमावेशक शब्दसंग्रह अ‍ॅप. 25 भाषांमध्ये UI. ✨ वैशिष्ट्ये 🔍 अनेक शब्दकोश मोड: समानार्थी, क्रियापद, नाम, वाक्प्रचार, विशेषण आणि मिश्र मोड 🔎 स्मार्ट शोध, सूचना, व्हॉइस शोध आणि TDK Güncel Türkçe Sözlük ऑनलाइन शोध ⭐ आवडते आणि शिकण्याची फ्लॅशकार्ड ➕ स्वतःची शब्दे जोडा 🎯 क्विझ मोड आणि आकडेवारी 📅 दिवसाचे शब्द — पर्यायी सूचना 🌍 25 भाषांमध्ये UI; तुर्की भाषा समावेश 🎨 आधुनिक UI: साइड मेनू, वर उजवीकडे लाइट/डार्क थीम 📊 प्रोफाइलमध्ये आकडेवारी आणि साखळी 🔒 गोपनीयता: वैयक्तिक डेटा नाही, अ‍ॅपमध्ये धोरण 25 भाषांमध्ये, फक्त स्थानिक साठवण 💯 पूर्णपणे मोफत, जाहिराती नाहीत आत्ताच डाउनलोड करा आणि शब्दसंग्रह वाढवा! 🚀"
"te-IN","టర్కిష్ నిఘంటువు","25 భాషల్లో! పర్యాయపదాలు, క్రియలు, సామెతలు, క్విజ్‌తో పదజాలం పెంచండి!","📚 టర్కిష్ నిఘంటువు — విద్యార్థులు, రచయితలు మరియు టర్కిష్ నేర్చుకునేవారికి సమగ్ర పదజాలం యాప్. 25 భాషల UI. ✨ లక్షణాలు 🔍 అనేక నిఘంటువు మోడ్‌లు: పర్యాయపదాలు, క్రియలు, నామవాచకాలు, సామెతలు, విశేషణాలు మరియు మిశ్రమ మోడ్ 🔎 స్మార్ట్ శోధన, సూచనలు, వాయిస్ శోధన మరియు TDK Güncel Türkçe Sözlük ఆన్‌లైన్ శోధన ⭐ ఇష్టమైనవి మరియు నేర్చుకోవడానికి ఫ్లాష్ కార్డులు ➕ మీ పదాలను జోడించండి 🎯 క్విజ్ మోడ్ మరియు గణాంకాలు 📅 రోజు పదం — ఐచ్ఛిక నోటిఫికేషన్ 🌍 25 భాషల UI; టర్కిక్ భాషలు సహా 🎨 ఆధునిక UI: సైడ్ మెనూ, పై కుడి లైట్/డార్క్ థీమ్ 📊 ప్రొఫైల్‌లో గణాంకాలు మరియు స్ట్రీక్ 🔒 గోప్యత: వ్యక్తిగత డేటా లేదు, యాప్‌లో విధానం 25 భాషల్లో, స్థానిక నిల్వ మాత్రమే 💯 పూర్తిగా ఉచితం, ప్రకటనలు లేవు ఇప్పుడే డౌన్‌లోడ్ చేసి పదజాలం పెంచుకోండి! 🚀"
"ta-IN","துருக்கிய அகராதி","25 மொழிகளில்! ஒத்த சொற்கள், வினை, மரபுத்தொடர்கள், வினாடி வினாவுடன்!","📚 துருக்கிய அகராதி — மாணவர்கள், எழுத்தாளர்கள் மற்றும் துருக்கியம் கற்பவர்களுக்கான விரிவான சொல்லகராதி செயலி. 25 மொழி UI. ✨ அம்சங்கள் 🔍 பல அகராதி முறைகள்: ஒத்த சொற்கள், வினை, பெயர், மரபுத்தொடர்கள், பெயரடை மற்றும் கலப்பு முறை 🔎 ஸ்மார்ட் தேடல், பரிந்துரைகள், குரல் தேடல் மற்றும் TDK Güncel Türkçe Sözlük ஆன்லைன் தேடல் ⭐ பிடித்தவை மற்றும் கற்றல் ஃபிளாஷ் கார்டுகள் ➕ உங்கள் சொற்களைச் சேர்க்கவும் 🎯 வினாடி வினா முறை மற்றும் புள்ளிவிவரங்கள் 📅 இன்றைய சொல் — விருப்ப அறிவிப்பு 🌍 25 மொழி UI; துருக்கிய மொழிகள் உட்பட 🎨 நவீன UI: பக்க மெனு, மேல் வலது லைட்/டார்க் தீம் 📊 சுயவிவரத்தில் புள்ளிவிவரம் மற்றும் தொடர் 🔒 தனியுரிமை: தனிப்பட்ட தரவு இல்லை, செயலியில் கொள்கை 25 மொழிகளில், உள்ளூர் சேமிப்பு மட்டும் 💯 முற்றிலும் இலவசம், விளம்பரம் இல்லை இப்போது பதிவிறக்கம் செய்து சொல்லகராதியை விரிவுபடுத்துங்கள்! 🚀"
"vi","Từ điển tiếng Thổ Nhĩ Kỳ","25 ngôn ngữ! Mở rộng từ vựng với từ đồng nghĩa, động từ, thành ngữ & quiz!","📚 Từ điển tiếng Thổ Nhĩ Kỳ — ứng dụng từ vựng tiếng Thổ toàn diện cho học sinh, nhà văn và người học. Giao diện 25 ngôn ngữ. ✨ TÍNH NĂNG 🔍 Nhiều chế độ từ điển: từ đồng nghĩa, động từ, danh từ, thành ngữ, tính từ và chế độ hỗn hợp 🔎 Tìm kiếm thông minh, gợi ý, tìm bằng giọng nói và tra cứu TDK Güncel Türkçe Sözlük trực tuyến ⭐ Yêu thích và thẻ học flashcard ➕ Thêm từ của riêng bạn 🎯 Chế độ quiz với thống kê 📅 Từ trong ngày — thông báo tùy chọn 🌍 Giao diện 25 ngôn ngữ, gồm các ngôn ngữ Turk 🎨 Giao diện hiện đại: menu bên, chuyển sáng/tối góc trên phải 📊 Thống kê và chuỗi ngày trên hồ sơ 🔒 Quyền riêng tư: không thu thập dữ liệu cá nhân, chính sách trong app 25 ngôn ngữ, chỉ lưu trữ cục bộ 💯 Hoàn toàn miễn phí, không quảng cáo Tải ngay và mở rộng vốn từ! 🚀"
"ko-KR","터키어 사전","25개 언어! 동의어, 동사, 관용구, 퀴즈로 터키어 어휘력을 키우세요!","📚 터키어 사전 — 학생, 작가, 터키어 학습자를 위한 종합 어휘 앱. 25개 언어 UI. ✨ 기능 🔍 다중 사전 모드: 동의어, 동사, 명사, 관용구, 형용사, 혼합 모드 🔎 스마트 검색, 제안, 음성 검색, TDK Güncel Türkçe Sözlük 온라인 조회 ⭐ 즐겨찾기 및 학습 플래시카드 ➕ 나만의 단어 추가 🎯 퀴즈 모드 및 통계 📅 오늘의 단어 — 선택적 알림 🌍 25개 언어 UI, 투르크어족 포함 🎨 현대적 UI: 사이드 메뉴, 우측 상단 라이트/다크 테마 📊 프로필 통계 및 연속 기록 🔒 개인정보: 개인 데이터 없음, 앱 내 정책 25개 언어, 로컬 저장만 💯 완전 무료, 광고 없음 지금 다운로드하고 어휘를 넓히세요! 🚀"
